Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Age,Property Type,Property Location,Co-Applicant,Property Price
f,19,2889.94,low,working,sales staff,rural,57810.08,264.92,n,y,2,787.74,0,inactive,8,industrial,semi-urban,1,80756.7
f,44,1266.06,low,working,laborers,semi-urban,12402.54,136.65,n,y,3,804.2,0,unpossessed,3,agriculture,semi-urban,1,21913.58
f,24,2538.85,low,working,laborers,rural,120525.64,552.77,y,y,3,721.27,1,inactive,7,residential,rural,1,170642.55
f,55,2497.4,low,working,laborers,semi-urban,115851.35,479.87,n,y,2,712.05,0,unpossessed,7,residential,semi-urban,0,151126.46
f,63,700.07,high,pensioner,hr staff,semi-urban,38101.51,240.38,n,y,2,860.88,0,unpossessed,2,agriculture,urban,1,47390.38
m,18,4028.01,low,state servant,core staff,rural,95922.71,417.05,n,y,2,620.0,0,active,11,agriculture,semi-urban,0,139522.21
f,18,5350.94,low,commercial associate,managers,semi-urban,99492.44,516.71,y,y,2,733.68,0,inactive,15,industrial,rural,0,188950.33
f,23,4141.15,low,state servant,laborers,rural,168825.55,621.83,y,n,3,637.03,0,active,11,residential,semi-urban,0,193087.29
m,29,3880.49,low,working,core staff,urban,234770.77,636.65,y,y,5,767.85,0,active,11,agriculture,semi-urban,1,326886.67
f,32,2478.54,low,working,accountants,semi-urban,30195.97,225.64,n,y,1,739.82,0,active,7,commercial,rural,1,45299.77
f,18,2222.435,low,working,hr staff,semi-urban,85927.28,217.19,n,n,2,688.21,0,unpossessed,6,commercial,rural,1,160151.78
f,28,2474.33,low,working,laborers,semi-urban,17503.0,144.82,n,y,3,855.97,1,unpossessed,7,commercial,rural,1,32580.57
f,18,1220.16,high,working,laborers,semi-urban,35595.86,153.25,n,n,3,706.08,0,unpossessed,3,agriculture,semi-urban,1,41948.44
m,18,1671.02,low,state servant,core staff,semi-urban,91850.54,438.64,n,y,2,834.62,0,active,5,residential,rural,1,144087.09
f,49,1974.82,low,working,drivers,semi-urban,43299.94,264.58,n,y,2,651.45,0,inactive,5,commercial,rural,1,58269.09
f,61,5302.28,low,working,accountants,rural,186715.38,527.81,y,n,1,748.38,0,active,15,industrial,semi-urban,1,270558.3
f,18,2368.34,low,working,laborers,semi-urban,18386.57,219.7,n,y,2,672.32,0,unpossessed,6,industrial,semi-urban,1,27966.91
m,28,2067.66,low,working,drivers,semi-urban,39290.22,193.27,n,y,3,630.73,0,active,6,commercial,semi-urban,1,70132.42
m,18,7885.56,low,commercial associate,managers,urban,121963.5,587.8,y,y,1,721.18,1,unpossessed,22,residential,urban,1,142645.25
m,30,4096.07,low,working,drivers,semi-urban,65332.24,334.81,y,n,3,707.3,0,inactive,11,agriculture,urban,1,122411.52
f,54,5330.72,low,working,managers,semi-urban,133531.81,535.77,n,n,1,861.21,1,active,15,commercial,urban,1,170214.99
m,37,2680.38,low,commercial associate,hr staff,semi-urban,85145.49,618.52,n,y,1,855.18,0,inactive,7,commercial,rural,1,104278.0
m,51,3384.91,low,working,hr staff,semi-urban,40679.95,340.44,n,y,2,799.57,1,active,9,agriculture,semi-urban,1,54618.45
f,18,1694.53,low,commercial associate,core staff,rural,41837.3,286.68,y,n,3,747.21,1,inactive,5,residential,urban,1,75416.35
f,27,1960.17,low,working,managers,semi-urban,123034.46,684.16,n,n,3,715.43,0,inactive,5,commercial,rural,0,169416.28
m,54,1871.92,low,working,accountants,semi-urban,55863.31,318.76,n,y,2,797.47,0,active,5,agriculture,semi-urban,1,102110.07
f,44,1761.15,low,working,cooking staff,semi-urban,75574.36,355.11,n,n,1,755.48,0,inactive,5,commercial,rural,1,84102.27
m,64,2478.3,low,working,core staff,semi-urban,171270.39,560.47,n,n,3,733.67,0,unpossessed,7,residential,urban,1,300043.91
m,59,2222.435,low,commercial associate,hr staff,semi-urban,155502.39,502.13,n,n,2,855.39,1,unpossessed,6,commercial,semi-urban,1,228079.45
f,62,1282.74,low,working,hr staff,semi-urban,71476.86,334.91,n,n,4,775.55,0,active,4,residential,urban,1,85170.57
f,39,1822.63,low,working,security staff,semi-urban,47012.15,238.11,n,y,1,757.22,0,unpossessed,5,residential,rural,1,84534.32
m,61,3104.0,low,working,high skill tech staff,semi-urban,159180.09,669.51,n,y,2,842.99,0,inactive,9,agriculture,rural,1,278885.16
m,21,1984.32,low,working,drivers,semi-urban,90857.67,479.49,y,y,2,775.57,0,inactive,5,commercial,semi-urban,1,119869.89
f,55,2222.435,low,commercial associate,sales staff,semi-urban,46240.13,226.65,n,y,1,644.64,0,inactive,6,industrial,semi-urban,1,63760.17
m,18,3031.97,low,working,managers,semi-urban,33085.85,336.9,n,y,2,833.33,0,active,8,agriculture,semi-urban,0,37567.92
f,31,2222.435,low,working,core staff,rural,99992.27,702.57,y,y,2,745.91,0,active,6,commercial,rural,1,145120.22
m,43,5445.6,low,commercial associate,laborers,semi-urban,58236.85,435.07,n,y,2,718.89,0,inactive,15,commercial,semi-urban,1,72025.12
f,33,3175.91,low,commercial associate,core staff,urban,185900.53,699.92,n,y,3,681.16,1,unpossessed,9,commercial,semi-urban,1,210100.47
f,51,4068.02,low,commercial associate,high skill tech staff,urban,116442.26,841.91,n,n,3,831.88,0,active,11,industrial,semi-urban,0,192340.59
f,58,1633.88,low,working,hr staff,semi-urban,48546.56,238.55,n,y,2,774.67,0,inactive,4,commercial,urban,1,84149.5
f,25,1224.99,low,working,core staff,rural,84606.2,427.1,n,n,4,705.62,0,unpossessed,3,residential,rural,1,136029.3
m,51,1993.49,high,working,private service staff,rural,97298.45,275.74,y,y,2,801.23,0,active,5,residential,urban,1,157137.04
f,43,2222.435,low,working,core staff,semi-urban,43232.4,203.58,n,y,2,725.78,0,unpossessed,6,industrial,urban,1,70538.77
m,65,1047.12,high,pensioner,hr staff,semi-urban,40742.95,169.31,n,y,2,821.87,0,unpossessed,3,residential,urban,0,56784.27
f,28,1972.0,low,working,core staff,rural,97666.72,356.08,y,n,2,796.03,0,inactive,5,industrial,rural,1,116536.87
f,26,5021.9,low,working,laborers,semi-urban,136882.85,699.72,n,y,3,643.89,1,inactive,14,industrial,urban,1,226130.72
m,65,3865.02,high,pensioner,hr staff,semi-urban,217597.12,658.92,y,n,2,797.55,1,inactive,11,agriculture,urban,1,263176.92
f,18,2222.435,low,working,accountants,semi-urban,27469.27,138.28,y,y,4,812.36,0,inactive,6,commercial,rural,1,50068.09
f,60,1318.47,low,working,sales staff,semi-urban,30191.08,114.06,n,y,2,766.81,0,active,4,residential,semi-urban,1,36230.17
f,43,1794.1,low,working,hr staff,rural,33807.36,240.32,y,y,4,723.8,0,active,6,residential,rural,1,51738.76
m,54,2814.48,low,working,laborers,urban,100346.63,427.31,n,y,3,742.45,0,inactive,8,residential,semi-urban,1,132302.29
m,24,1580.38,low,working,core staff,semi-urban,66041.19,325.89,n,n,4,717.92,0,active,4,commercial,semi-urban,1,100265.3
f,55,2700.12,low,working,drivers,semi-urban,24890.1,141.45,y,n,2,757.67,0,unpossessed,7,residential,rural,1,32954.34
m,50,2222.435,low,commercial associate,accountants,semi-urban,61445.67,316.61,n,y,2,710.12,0,active,6,agriculture,urban,1,116623.96
m,50,2476.71,low,working,hr staff,semi-urban,79928.84,336.88,y,y,2,678.0,0,unpossessed,7,agriculture,semi-urban,1,100315.66
f,46,2239.14,low,commercial associate,hr staff,semi-urban,46755.67,237.28,n,y,2,676.78,0,unpossessed,6,residential,urban,1,57625.06
f,18,2760.03,low,working,security staff,semi-urban,64516.08,322.2,y,n,1,682.6,1,unpossessed,8,industrial,rural,1,117010.73
f,62,1519.67,high,pensioner,hr staff,semi-urban,45103.02,450.18,n,y,1,854.18,0,unpossessed,4,commercial,semi-urban,1,75013.84
m,48,2590.89,low,working,waiters/barmen staff,semi-urban,32607.06,293.0,n,n,2,801.62,0,inactive,7,commercial,rural,1,60126.46
f,56,1589.8,low,working,high skill tech staff,rural,42465.29,294.29,n,n,2,729.66,1,active,4,industrial,rural,1,68719.99
m,30,3967.09,low,working,high skill tech staff,semi-urban,175654.45,730.28,y,y,2,718.28,1,active,11,commercial,rural,1,198852.89
f,64,1179.18,low,commercial associate,high skill tech staff,rural,30385.6,251.72,n,y,3,756.24,0,unpossessed,3,agriculture,semi-urban,1,39087.37
m,22,2178.86,low,commercial associate,sales staff,semi-urban,60176.63,282.93,n,n,1,813.17,0,inactive,6,residential,rural,1,82905.84
m,37,1332.42,low,commercial associate,hr staff,semi-urban,60017.87,475.42,n,y,1,728.29,0,active,4,residential,semi-urban,1,99319.12
f,36,2966.6,low,commercial associate,hr staff,semi-urban,152200.62,736.35,n,y,3,766.19,0,inactive,8,industrial,urban,0,171476.96
f,63,3516.53,low,working,managers,semi-urban,111662.86,670.31,n,n,1,822.91,0,unpossessed,10,agriculture,semi-urban,1,149145.97
f,61,2222.435,high,pensioner,hr staff,urban,258359.02,938.59,y,y,3,791.54,0,active,6,commercial,rural,1,437535.71
f,65,3477.95,high,pensioner,hr staff,rural,44490.31,243.35,n,n,1,747.66,0,inactive,10,agriculture,rural,1,60639.31
m,22,1206.34,low,working,sales staff,rural,19195.88,97.75,n,y,2,669.13,0,inactive,3,agriculture,semi-urban,1,32233.86
f,56,1891.2,low,commercial associate,laborers,semi-urban,114434.1,360.1,y,y,3,739.82,0,unpossessed,5,agriculture,semi-urban,1,217245.44
m,53,2000.87,low,working,drivers,semi-urban,124714.96,631.2,y,y,2,675.33,0,inactive,5,agriculture,urban,1,170138.05
f,34,2351.33,low,working,drivers,semi-urban,53358.88,272.46,y,n,4,657.77,1,unpossessed,6,residential,rural,1,109993.61
m,53,1729.9,low,state servant,core staff,rural,132530.58,439.49,n,n,1,630.55,0,unpossessed,5,commercial,urban,1,157052.24
m,48,979.49,low,working,medicine staff,semi-urban,24728.19,137.78,y,n,3,710.2,0,inactive,3,residential,semi-urban,1,33750.19
f,51,6060.9,low,working,managers,urban,102169.74,738.55,n,n,3,851.94,1,inactive,17,industrial,rural,1,139187.56
f,18,2222.435,low,working,laborers,semi-urban,30911.17,152.44,y,y,3,739.82,0,unpossessed,6,agriculture,semi-urban,1,41720.56
f,40,2222.435,low,working,security staff,urban,76049.06,341.29,n,y,2,760.05,0,inactive,6,residential,urban,1,89983.16
m,18,1532.0,low,working,hr staff,semi-urban,33819.92,170.24,y,y,4,682.04,0,unpossessed,4,agriculture,rural,1,49033.5
f,18,1844.18,low,working,laborers,urban,155880.45,726.98,y,y,3,700.26,0,unpossessed,5,agriculture,rural,0,229559.35
f,56,1894.11,low,working,private service staff,semi-urban,36501.56,219.55,n,y,2,854.27,1,inactive,5,residential,urban,1,53826.78
m,65,6446.85,high,pensioner,hr staff,semi-urban,37067.92,197.19,n,y,1,717.87,0,active,18,residential,urban,0,62892.32
f,35,3537.39,low,commercial associate,core staff,semi-urban,27863.43,127.96,n,y,2,687.21,0,unpossessed,10,residential,semi-urban,1,49483.82
f,65,1356.3,high,pensioner,hr staff,rural,90572.18,327.39,n,y,2,781.35,0,active,4,agriculture,urban,1,139890.25
f,58,1565.69,low,working,laborers,rural,20284.94,179.39,n,n,1,660.75,1,unpossessed,4,agriculture,semi-urban,1,37516.71
m,44,2222.435,low,commercial associate,sales staff,semi-urban,38189.42,133.77,n,y,2,658.54,0,unpossessed,6,agriculture,semi-urban,1,66887.0
m,63,1028.41,high,pensioner,hr staff,semi-urban,6840.47,66.86,n,y,1,770.26,0,inactive,3,agriculture,urban,0,9440.89
m,42,2019.52,low,state servant,core staff,semi-urban,31003.62,249.76,n,y,4,632.51,0,unpossessed,6,commercial,rural,1,48389.84
m,36,2222.435,low,commercial associate,laborers,rural,58353.58,474.24,n,y,1,670.61,0,unpossessed,6,residential,urban,1,80524.3
f,18,3214.48,low,state servant,managers,semi-urban,107040.92,589.89,n,n,2,681.92,0,inactive,9,agriculture,urban,1,161283.95
f,23,1712.51,low,working,laborers,rural,44232.77,213.61,n,n,2,630.48,0,unpossessed,5,residential,semi-urban,1,76206.18
m,56,2222.435,low,state servant,accountants,semi-urban,200074.37,562.02,y,n,4,733.89,1,active,6,residential,semi-urban,1,364087.25
m,59,2222.435,low,working,hr staff,semi-urban,139265.98,388.1,y,y,3,704.75,0,unpossessed,6,industrial,rural,1,221176.16
f,27,3370.31,low,working,laborers,rural,107191.77,896.93,y,y,3,742.99,1,unpossessed,9,residential,urban,0,153306.01
f,62,2573.03,low,commercial associate,laborers,rural,136992.15,395.22,y,y,3,701.49,1,unpossessed,7,commercial,rural,1,251217.1
m,64,1545.57,low,working,hr staff,semi-urban,159560.45,498.49,n,n,1,707.22,0,unpossessed,4,agriculture,urban,1,279036.8
m,57,1040.76,low,commercial associate,core staff,rural,7312.83,81.78,n,y,3,664.4,0,inactive,3,industrial,rural,1,8496.3
m,22,4493.53,high,working,sales staff,semi-urban,62366.83,283.94,y,y,2,797.71,0,unpossessed,12,industrial,urban,1,113945.92
m,42,2139.98,low,working,core staff,semi-urban,24656.28,124.14,n,y,2,852.17,0,unpossessed,6,agriculture,rural,1,31258.86
f,36,2222.435,low,working,sales staff,semi-urban,97031.52,308.86,y,y,2,781.72,0,active,6,commercial,rural,1,169263.91
f,38,1274.01,low,working,laborers,semi-urban,51251.75,241.86,n,y,1,632.1,1,inactive,3,commercial,semi-urban,1,70784.92
m,38,1919.85,low,working,laborers,semi-urban,31362.64,260.79,y,y,4,756.17,1,unpossessed,5,residential,rural,1,52756.02
f,47,1273.04,low,working,sales staff,rural,38205.43,205.4,y,y,3,798.66,1,active,3,commercial,urban,1,64949.87
m,64,3418.19,low,commercial associate,accountants,rural,59458.51,358.26,n,n,1,809.85,0,inactive,9,industrial,urban,1,92549.63
m,32,4752.31,low,working,managers,semi-urban,92444.56,447.98,y,n,2,723.27,0,active,13,residential,rural,1,102105.1
f,41,2918.66,low,working,managers,urban,67945.04,361.46,n,y,2,739.82,0,active,8,industrial,rural,1,113957.08
f,26,2461.58,low,working,sales staff,semi-urban,49549.37,354.87,n,y,2,649.78,0,inactive,7,commercial,rural,1,69007.01
m,18,2222.435,low,commercial associate,managers,rural,74577.6,381.31,n,n,2,718.98,0,unpossessed,6,residential,rural,1,106610.08
f,52,1598.0,low,commercial associate,drivers,semi-urban,63966.4,343.75,y,n,4,701.88,0,unpossessed,4,industrial,rural,1,97947.0
f,39,2100.78,low,working,laborers,semi-urban,210569.27,537.7,y,n,1,699.5,0,active,6,residential,semi-urban,1,391691.7
m,58,1660.34,low,working,high skill tech staff,semi-urban,49598.48,265.6,n,y,1,763.17,0,active,5,industrial,rural,1,59389.33
m,18,2877.12,low,working,sales staff,semi-urban,169359.86,1162.36,y,n,3,670.89,1,active,8,commercial,urban,1,265433.18
f,30,2222.435,low,working,laborers,semi-urban,53106.96,162.12,n,n,1,739.82,0,unpossessed,6,commercial,urban,1,64680.13
f,37,2222.435,low,commercial associate,accountants,urban,79909.09,397.51,y,y,2,773.58,1,active,6,commercial,urban,1,123005.34
f,28,3131.48,low,working,laborers,rural,102536.42,557.03,n,y,1,669.4,1,unpossessed,9,commercial,semi-urban,1,150194.71
f,18,3496.45,low,working,waiters/barmen staff,semi-urban,136037.97,604.69,y,n,2,831.56,0,unpossessed,10,residential,urban,1,237410.99
m,65,2222.435,high,pensioner,hr staff,semi-urban,79442.15,381.79,y,y,2,684.07,0,inactive,6,industrial,semi-urban,1,138667.33
f,64,967.86,low,working,sales staff,semi-urban,47048.96,240.63,n,n,2,671.05,0,inactive,3,commercial,urban,1,52018.51
m,33,1491.84,low,working,cleaning staff,semi-urban,98757.66,296.19,n,y,3,761.02,0,inactive,4,industrial,semi-urban,1,133896.96
m,52,2182.76,low,working,laborers,semi-urban,138081.27,552.45,n,y,2,717.7,0,inactive,6,agriculture,rural,1,210008.23
f,53,2867.54,low,commercial associate,laborers,semi-urban,88735.89,313.55,n,y,1,807.11,0,unpossessed,8,commercial,urban,0,133217.88
f,42,2462.09,low,working,realty agents,rural,262719.4,702.81,y,y,3,798.13,0,active,7,agriculture,rural,1,336636.4
f,32,2356.9,low,commercial associate,laborers,semi-urban,141950.43,371.69,y,y,2,739.82,0,inactive,6,agriculture,rural,1,257724.9
m,64,6161.03,low,working,laborers,urban,41219.31,199.82,n,y,2,644.13,1,inactive,17,commercial,rural,1,62932.33
m,61,2222.435,low,working,drivers,semi-urban,42747.02,223.99,n,y,1,765.5,0,active,6,residential,urban,1,63815.66
f,18,2276.44,low,working,accountants,rural,59606.76,290.99,y,y,2,846.2,0,unpossessed,6,agriculture,rural,1,66854.51
m,51,6014.8,low,commercial associate,hr staff,urban,137881.43,704.56,y,y,5,758.89,0,unpossessed,16,agriculture,semi-urban,1,201934.97
m,62,2990.52,low,state servant,managers,rural,27568.48,211.08,n,n,2,657.53,1,inactive,8,residential,rural,0,48938.58
m,21,2836.78,low,working,laborers,rural,123359.81,608.46,n,y,3,683.77,1,active,8,commercial,semi-urban,1,188339.8
f,41,967.1,low,commercial associate,laborers,semi-urban,77009.45,403.1,n,n,2,764.3,0,unpossessed,3,residential,urban,1,87972.1
m,36,2142.63,low,working,core staff,semi-urban,47814.96,261.43,n,y,1,847.83,1,inactive,6,residential,rural,1,83481.6
m,42,1239.81,low,commercial associate,hr staff,semi-urban,28781.77,197.86,n,y,2,745.39,0,inactive,3,residential,urban,1,34640.81
f,31,2222.435,low,working,sales staff,semi-urban,145343.2,927.59,n,n,2,841.12,1,inactive,6,industrial,semi-urban,1,256615.01
m,18,2222.435,low,working,hr staff,semi-urban,23807.1,123.46,n,n,1,682.32,0,inactive,6,residential,semi-urban,1,43868.75
m,35,3048.84,low,working,hr staff,urban,86281.74,635.82,n,n,3,779.09,0,active,8,commercial,urban,1,133711.7
f,36,1256.46,low,commercial associate,laborers,semi-urban,87663.0,501.31,n,y,3,760.06,0,inactive,3,industrial,urban,1,149690.69
m,18,1804.62,low,commercial associate,high skill tech staff,semi-urban,138931.88,488.59,n,n,1,782.31,0,active,5,residential,rural,1,156867.8
m,64,3637.7,high,commercial associate,managers,rural,23811.63,162.44,n,n,2,811.11,0,unpossessed,10,industrial,semi-urban,1,40867.64
m,18,1146.99,low,commercial associate,sales staff,semi-urban,26279.47,132.24,n,y,3,610.31,0,active,3,commercial,semi-urban,0,44808.44
f,26,4338.52,low,working,sales staff,semi-urban,106168.08,327.38,y,y,2,739.82,0,inactive,12,commercial,rural,1,164951.03
m,31,3181.79,low,working,laborers,semi-urban,56230.74,378.54,n,y,1,603.11,1,unpossessed,9,commercial,urban,1,64656.86
m,43,2532.51,low,working,hr staff,rural,6189.5,34.04,n,y,4,728.51,0,inactive,7,residential,semi-urban,1,8406.79
m,62,2334.17,low,commercial associate,laborers,semi-urban,174980.55,639.42,n,y,2,689.17,0,inactive,6,agriculture,rural,1,322776.3
m,52,5023.72,low,commercial associate,hr staff,semi-urban,102610.53,762.16,y,y,4,792.47,0,unpossessed,14,industrial,urban,1,148807.35
m,38,2021.12,low,working,sales staff,semi-urban,281022.99,947.45,n,y,4,677.18,0,unpossessed,6,agriculture,urban,0,519776.2
m,51,2021.96,low,commercial associate,sales staff,urban,114273.33,375.55,n,n,4,720.3,0,active,6,residential,rural,1,185723.98
f,48,3404.88,low,state servant,core staff,urban,35677.5,358.57,y,y,2,851.44,1,unpossessed,9,commercial,semi-urban,1,49569.03
m,37,3268.08,low,working,accountants,semi-urban,113861.07,480.68,y,n,1,738.18,0,unpossessed,9,agriculture,semi-urban,1,171731.49
m,43,1637.51,low,working,high skill tech staff,semi-urban,75095.84,417.84,n,y,3,815.75,1,unpossessed,4,agriculture,semi-urban,1,114087.85
f,26,5445.6,low,commercial associate,managers,semi-urban,81490.74,1118.79,y,y,4,722.17,0,active,15,residential,rural,1,132436.48
m,43,2222.435,low,working,laborers,semi-urban,99316.11,367.34,y,y,1,707.82,0,inactive,6,agriculture,rural,1,133883.38
m,51,2470.74,low,working,low-skill laborers,semi-urban,105866.95,834.14,n,y,3,651.64,0,inactive,7,agriculture,rural,1,146419.13
m,44,2222.435,low,commercial associate,hr staff,semi-urban,114392.28,376.31,n,y,2,708.88,1,unpossessed,6,agriculture,rural,1,211999.08
m,21,2137.01,low,working,sales staff,semi-urban,201716.39,498.39,n,n,2,804.32,0,inactive,6,industrial,semi-urban,1,233893.63
m,40,2435.91,low,working,managers,semi-urban,60339.0,206.84,n,n,2,725.33,0,inactive,7,industrial,urban,0,72861.07
f,18,1893.91,low,commercial associate,core staff,semi-urban,113175.0,383.49,n,y,2,825.06,0,unpossessed,5,agriculture,urban,1,167022.14
m,55,2755.69,low,state servant,high skill tech staff,semi-urban,39048.36,332.61,n,n,1,650.09,0,unpossessed,8,residential,rural,1,67755.7
m,29,2562.95,low,working,managers,semi-urban,27599.48,144.97,y,y,5,634.94,0,active,7,commercial,semi-urban,1,31176.34
f,50,2222.435,low,state servant,hr staff,semi-urban,124136.37,324.74,n,y,3,665.98,0,active,6,residential,rural,1,142154.35
m,50,2222.435,high,working,laborers,semi-urban,112900.61,542.32,n,y,3,801.33,0,active,6,commercial,urban,1,189468.38
m,44,3466.88,low,working,laborers,semi-urban,161020.8,700.37,n,y,2,788.67,0,active,9,commercial,urban,1,194231.61
f,60,3462.78,high,pensioner,hr staff,semi-urban,91715.54,271.26,y,n,2,873.28,0,active,9,residential,rural,0,110304.39
m,37,1631.16,low,commercial associate,hr staff,semi-urban,53926.02,159.06,n,n,3,652.46,0,active,4,commercial,rural,1,93484.83
m,23,1970.12,low,working,laborers,semi-urban,45332.69,295.74,n,n,1,655.33,0,unpossessed,5,agriculture,rural,1,68462.61
f,65,911.24,high,pensioner,hr staff,rural,31484.72,176.33,n,y,2,851.02,0,active,2,commercial,rural,1,57401.5
m,64,1857.54,low,working,laborers,rural,82812.81,373.03,n,n,2,640.74,1,inactive,5,agriculture,semi-urban,1,111218.06
m,18,1098.18,low,working,laborers,semi-urban,77512.02,346.47,n,y,2,668.87,0,inactive,3,industrial,semi-urban,1,129330.82
m,19,1385.55,low,working,hr staff,semi-urban,39445.27,233.36,n,n,1,746.84,0,unpossessed,4,agriculture,rural,0,65250.01
f,57,4244.06,low,working,high skill tech staff,semi-urban,89707.55,471.27,y,n,1,721.5,0,inactive,12,commercial,semi-urban,1,161982.05
m,65,2662.74,high,pensioner,hr staff,semi-urban,126470.1,407.09,n,y,1,774.11,0,inactive,7,residential,urban,1,205775.77
f,34,2940.62,low,state servant,core staff,urban,37359.33,191.58,n,y,2,842.73,0,active,8,commercial,semi-urban,1,58296.16
f,56,1208.54,low,working,drivers,semi-urban,34278.64,199.7,n,y,2,694.28,0,active,3,commercial,urban,0,57338.99
f,43,1935.49,low,working,private service staff,semi-urban,109313.69,459.13,n,y,2,650.39,0,active,5,residential,urban,1,143224.2
m,56,4252.56,low,commercial associate,sales staff,semi-urban,155846.86,465.13,y,y,3,824.43,0,unpossessed,12,commercial,semi-urban,1,199451.96
f,46,824.0,low,working,laborers,semi-urban,28762.4,173.77,y,y,2,770.16,1,unpossessed,2,commercial,rural,1,54258.63
f,18,1497.23,low,commercial associate,low-skill laborers,semi-urban,30847.01,148.33,n,n,3,594.84,0,unpossessed,4,residential,urban,0,56421.47
f,64,2534.74,low,commercial associate,managers,rural,130784.86,632.41,n,y,2,791.81,0,active,7,industrial,urban,1,169766.07
f,18,3089.34,low,working,hr staff,urban,81979.03,395.75,y,y,2,652.28,0,unpossessed,8,residential,urban,1,101688.7
f,25,2222.435,low,working,sales staff,semi-urban,67406.4,339.62,n,y,3,713.59,0,inactive,6,agriculture,urban,1,98777.13
m,22,8556.16,low,commercial associate,high skill tech staff,urban,278598.47,891.23,y,y,4,804.33,1,inactive,23,commercial,urban,0,485963.49
f,59,997.39,low,working,core staff,semi-urban,26045.14,137.21,n,y,2,739.82,0,unpossessed,3,industrial,urban,1,46802.31
f,65,3320.45,high,pensioner,hr staff,semi-urban,93722.31,320.44,y,y,2,805.44,1,unpossessed,9,industrial,urban,1,134052.11
m,26,1272.64,low,working,sales staff,semi-urban,27915.27,132.96,n,y,1,673.66,0,unpossessed,3,agriculture,rural,1,39834.37
m,58,2222.435,low,working,drivers,rural,31073.48,214.31,n,y,2,658.98,1,active,6,residential,semi-urban,1,39487.19
m,54,2222.435,low,working,sales staff,semi-urban,24805.62,125.15,y,y,2,675.64,0,active,6,agriculture,rural,1,44287.49
m,44,2030.99,low,state servant,laborers,semi-urban,26802.03,138.45,n,n,2,688.22,0,inactive,6,residential,rural,1,36179.99
f,44,993.21,low,working,core staff,semi-urban,26814.58,126.58,n,n,1,679.23,0,active,3,commercial,urban,1,36037.73
